Work ID,File Name,Work Agent,Work Title,Work Type,Work Material,Work Description,Work Measurements,Work Date,Work Location,GPSLatitude,GPSLongitude,Image Relation,Image Title,Image Work Type,Work Location Creation,Work Cultural Context,Work Style Period,Work Location Site,Collection,Image Rights,Image Source,Image URL,Title,Creator,Subject,Description,Publisher,Contributor,Coverage,Date,Type,Format,Copyright Notice,Source,Language,Relation,Identifier
1654,AR-MA-Bruzzone-Agentes-CIA-018-Taller-Que-hacer-con-los-billetes-de-2-pesos-1654-00.jpg,Agentes CIA 018 (Buenos Aires artist collective),Taller Qué hacer con los billetes de 2 pesos,obra de arte [300133025],papel moneda; lápiz de color [300022441],"Dibujos, frases y roturas en cinco billetes de dos pesos que dejaron de circular",6.5 cm x 15 cm,2018 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1654",-34599,-58380,"[imageOf 1654, RAC Database]",Taller Qué hacer con los billetes de 2 pesos,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agentes-CIA-018-Taller-Que-hacer-con-los-billetes-de-2-pesos-1654-00.jpg,Title-dc,Creator-dc,Subject-dc,Description-dc,Publisher-dc,Contributor-dc,Coverage-dc,1900,Type-dc,Format-dc,Copyright Notice-dc,Source-dc,Language-dc,Relation-dc,Identifier-dc
2014,AR-MA-Bruzzone-Agesta-Antonella-Je-suis-la-2014-00.jpg,"Agesta, Antonella",Je suis lá,pintura al óleo (obra visual) [300033799],Imprimación industrial. Bastidor de madera con travesaño sin cuñas; Tela,Una mujer parada de costado con casa de fondo,90 cm x 60 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 2014",-34599,-58380,"[imageOf 2014, RAC Database]",Je suis lá,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-Je-suis-la-2014-00.jpg,,,,,,,,,,,,,,,
1956,AR-MA-Bruzzone-Agesta-Antonella-ST-Dos-pinturas-1956-00.jpg,"Agesta, Antonella",Sin título. Dos pinturas,acuarela (obra visual) [300078925],acuarela (obra pintada) [300404216],Dos pinturas sobre un fondo rojo con hojas,23 cm x 15 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1956",-34599,-58380,"[imageOf 1956, RAC Database]",Sin título. Dos pinturas,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Dos-pinturas-1956-00.jpg,,,,,,,,,,,,,,,
1955,AR-MA-Bruzzone-Agesta-Antonella-ST-Flor-1955-00.jpg,"Agesta, Antonella",Sin título. Flor,acuarela (obra visual) [300078925],acuarela (pintura) [300015045]; papel (producto de fibra) [300014109],Una flor con arabescos,23 cm x 15 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1955",-34599,-58380,"[imageOf 1955, RAC Database]",Sin título. Flor,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Flor-1955-00.jpg,,,,,,,,,,,,,,,
1957,AR-MA-Bruzzone-Agesta-Antonella-ST-Jarron-1957-00.jpg,"Agesta, Antonella",Sin título. Jarrón,acuarela (obra visual) [300078925],,Un jarrón sobre una mesa con fondo cuadriculado,23 cm x 15 cm,2020 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1957",-34599,-58380,"[imageOf 1957, RAC Database]",Sin título. Jarrón,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Agesta-Antonella-ST-Jarron-1957-00.jpg,,,,,,,,,,,,,,,
1989,AR-MA-Bruzzone-Aguirre-Talamona-Maria-Virginia-Bayavaga-1320-Vat-1989-00.jpg,"Aguirre Talamona, María Virginia (Bayavaga)",1320 Vat,acuarela (obra visual) [300078925],técnica mixta (material artístico) [300163347]; lápiz de grafito [300022443]; acuarela [300015045]; papel de dibujo [300014157],Abstracto,19 cm x 15 cm,2007 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 1989",-34599,-58380,"[imageOf 1989, RAC Database]",1320 Vat,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aguirre-Talamona-Maria-Virginia-Bayavaga-1320-Vat-1989-00.jpg,,,,,,,,,,,,,,,
573,AR-MA-Bruzzone-Aira-Huevos-de-colores-0573-00.jpg,"Aira, César",Sin título – Globos de colores,pintura al óleo (obra visual) [300033799],pintura al óleo (material) [300015050]; acrílico (pintura) [300015058]; panel sandwich [300257719],Abstracto. Globos de colores en un cuadriculado,40 cm x 30 cm,1995 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 573",-34599,-58380,"[imageOf 573, RAC Database]",Sin título – Globos de colores,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aira-Huevos-de-colores-0573-00.jpg,,,,,,,,,,,,,,,
720,AR-MA-Bruzzone-Aisenberg-Busco-0720-00.jpg,"Aisenberg, Diana",Busco,collage (obra visual) [300033963],collage (técnica) [300138699]; papel (producto de fibra) [300014109],Mediante la palabra “Busco” se interactúa con diversas palabras invitando a la gente a participar de la obra,86 cm x 60 cm,2002- ca 2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 720",-34599,-58380,"[imageOf 720, RAC Database]",Busco,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-0720-00.jpg,,,,,,,,,,,,,,,
722,AR-MA-Bruzzone-Aisenberg-Busco-Busco-0722-00.jpg,"Aisenberg, Diana",Busco Busco,collage (obra visual) [300033963],collage (técnica) [300138699]; cartulina [300014228],Mediante la palabra “Busco” se invita a la gente a participar de la obra,33 cm x 30 cm,2002- ca 2010 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 722",-34599,-58380,"[imageOf 722, RAC Database]",Busco Busco,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-Busco-0722-00.jpg,,,,,,,,,,,,,,,
721,AR-MA-Bruzzone-Aisenberg-Busco-Camino-0721-00.jpg,"Aisenberg, Diana",Busco Camino,impresión de chorro de tinta [300235748],tinta [300015012]; papel (producto de fibra) [300014109],Mediante la palabra “Busco Camino” se interactúa con diversas palabras invitando a la gente a participar de la obra,55 cm x 73.5 cm,2007 (creation),"Colección Bruzzone (Buenos Aires, Argentina) Inv. 721",-34599,-58380,"[imageOf 721, RAC Database]",Busco Camino,digital image,Argentina,Argentinean,Contemporary,"Private Collection (Buenos Aires, Argentina)",Colección Bruzzone,CC-BY Roberto Macchiavelli,https://museosabiertos.org/assets/,https://museosabiertos.org/assets/AR-MA-Bruzzone-Aisenberg-Busco-Camino-0721-00.jpg,,,,,,,,,,,,,,,
